teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
CM_Hojas de Roble,,<EOS>,V1,0.02279635,5.4551,1,0
CM_Punto Angelines,1,V1,<BOS>,0.5,1.0,1,0
CM_Punto Angelines,2,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,3,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,4,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,1,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,2,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,3,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,4,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,1,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,2,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,3,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,4,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,1,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,2,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,3,V1,V2,0.29310345,1.7705,1,0
CM_Punto Angelines,16,V2,V1,0.02583587,5.2745,1,0
CM_Punto Angelines,17,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,18,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,19,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,16,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,17,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,18,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,19,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,16,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,17,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,18,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,19,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,16,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,17,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,18,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,19,V2,V2,0.53448276,0.9038,1,0
CM_Punto Angelines,,<EOS>,V2,0.05172414,4.273,1,0
CM_Pepita,3,V1,<BOS>,0.5,1.0,1,0
CM_Pepita,9,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,11,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,13,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,15,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,17,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,19,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,21,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,23,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,25,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,27,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,29,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,31,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,33,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,35,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,37,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,39,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,41,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,43,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,45,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,47,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,49,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,51,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,53,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,55,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,57,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,59,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,61,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,63,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,65,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,67,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,69,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,71,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,73,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,75,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,77,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,79,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,81,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,83,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,85,V1,V0,0.34046053,1.5544,1,0
CM_Pepita,87,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,89,V1,V1,0.63981763,0.6443,1,0
CM_Pepita,91,V0,V1,0.31155015,1.6825,1,0
CM_Pepita,93,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,95,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,97,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,99,V0,V0,0.63651316,0.6517,1,0
CM_Pepita,101,V0,V0,0.63651316,0.6517,1,0
